component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
head,0,2,0.7515124403435038,0.21107268333435059,0,1100,full_table
head,0,3,1.3115400992828654,0.30103808641433716,0,1100,full_table
mlp_group,0,0,5.0787333748303354e-05,0.0,0,1100,full_table
mlp_group,0,1,0.00011453598563093692,0.0,0,1100,full_table
mlp_group,0,2,0.0039924494485603645,0.0,0,1100,full_table
mlp_group,0,3,0.01211229847103823,0.003460228443145752,0,1100,full_table
mlp_group,0,4,5.9950107242912054e-05,0.0,0,1100,full_table
mlp_group,0,5,0.031121360560064204,0.01038062572479248,0,1100,full_table
mlp_group,0,6,0.0004128447762923315,0.0,0,1100,full_table
mlp_group,0,7,6.519582530017942e-05,0.0,0,1100,full_table
head,1,0,0.3360919677215861,0.11764705181121826,0,1100,full_table
head,1,1,0.18791111042082775,0.0519031286239624,0,1100,full_table
head,1,2,0.30054912199557293,0.0968858003616333,0,1100,full_table
head,1,3,0.4432397209602641,0.11764705181121826,0,1100,full_table
mlp_group,1,0,4.793463449459523e-05,0.0,0,1100,full_table
mlp_group,1,1,4.879143671132624e-05,0.0,0,1100,full_table
mlp_group,1,2,0.0001208911562571302,0.0,0,1100,full_table
mlp_group,1,3,9.830390627030283e-05,0.0,0,1100,full_table
mlp_group,1,4,0.00012325223360676318,0.0,0,1100,full_table
mlp_group,1,5,0.00010861220653168857,0.0,0,1100,full_table
mlp_group,1,6,8.83435714058578e-05,0.0,0,1100,full_table
mlp_group,1,7,5.650742969010025e-05,0.0,0,1100,full_table
head,0,0,1.3252188721307903,0.32179927825927734,0,1200,full_table
head,0,1,1.3852752009042888,0.30449825525283813,0,1200,full_table
head,0,2,0.75974150091497,0.21107268333435059,0,1200,full_table
head,0,3,1.3263556519159465,0.30103808641433716,0,1200,full_table
mlp_group,0,0,4.587621515383944e-05,0.0,0,1200,full_table
mlp_group,0,1,0.00010503862722544,0.0,0,1200,full_table
mlp_group,0,2,0.004414912276843097,0.003460228443145752,0,1200,full_table
mlp_group,0,3,0.012885325551906135,0.003460228443145752,0,1200,full_table
mlp_group,0,4,5.494811193784699e-05,0.0,0,1200,full_table
mlp_group,0,5,0.03396260082809022,0.01038062572479248,0,1200,full_table
mlp_group,0,6,0.0003989655742770992,0.0,0,1200,full_table
mlp_group,0,7,5.880110984435305e-05,0.0,0,1200,full_table
head,1,0,0.3412357130655437,0.11418682336807251,0,1200,full_table
head,1,1,0.1904262909301906,0.0519031286239624,0,1200,full_table
head,1,2,0.3080235579618602,0.0968858003616333,0,1200,full_table
head,1,3,0.4526019850381999,0.11764705181121826,0,1200,full_table
mlp_group,1,0,4.2948835471179336e-05,0.0,0,1200,full_table
mlp_group,1,1,4.356280987849459e-05,0.0,0,1200,full_table
mlp_group,1,2,0.00010964678222080693,0.0,0,1200,full_table
mlp_group,1,3,8.889822493074462e-05,0.0,0,1200,full_table
mlp_group,1,4,0.00011249045928707346,0.0,0,1200,full_table
mlp_group,1,5,9.821933781495318e-05,0.0,0,1200,full_table
mlp_group,1,6,7.988120341906324e-05,0.0,0,1200,full_table
mlp_group,1,7,5.087140743853524e-05,0.0,0,1200,full_table
head,0,0,1.3486911249274272,0.32179927825927734,0,1300,full_table
head,0,1,1.3994747591132182,0.31141871213912964,0,1300,full_table
head,0,2,0.7673416924590128,0.21107268333435059,0,1300,full_table
head,0,3,1.3402010393256205,0.2975778579711914,0,1300,full_table
